pattern,arm,repetition,observed_rows,startup_seconds_known_count,startup_seconds_mean,startup_seconds_sum,startup_seconds_min,startup_seconds_max,request_seconds_known_count,request_seconds_mean,request_seconds_sum,request_seconds_min,request_seconds_max,sequence_gaps_seconds_known_count,sequence_gaps_seconds_mean,sequence_gaps_seconds_sum,sequence_gaps_seconds_min,sequence_gaps_seconds_max,sequence_seconds_known_count,sequence_seconds_mean,sequence_seconds_sum,sequence_seconds_min,sequence_seconds_max,cleanup_seconds_known_count,cleanup_seconds_mean,cleanup_seconds_sum,cleanup_seconds_min,cleanup_seconds_max,generation_output_tokens_all_calls_known_count,generation_output_tokens_all_calls_mean,generation_output_tokens_all_calls_sum,generation_output_tokens_all_calls_min,generation_output_tokens_all_calls_max,all_backend_load_duration_seconds_known_count,all_backend_load_duration_seconds_mean,all_backend_load_duration_seconds_sum,all_backend_load_duration_seconds_min,all_backend_load_duration_seconds_max,all_backend_prompt_eval_duration_seconds_known_count,all_backend_prompt_eval_duration_seconds_mean,all_backend_prompt_eval_duration_seconds_sum,all_backend_prompt_eval_duration_seconds_min,all_backend_prompt_eval_duration_seconds_max,all_backend_eval_duration_seconds_known_count,all_backend_eval_duration_seconds_mean,all_backend_eval_duration_seconds_sum,all_backend_eval_duration_seconds_min,all_backend_eval_duration_seconds_max
EDED,adaptive,2,3,3,3.0524262163333336,9.157278649,2.313211657,4.201942146,3,85.67573315766667,257.027199473,62.065767097,110.04270242,3,0.19534829533333334,0.586044886,0.170749236,0.219621291,3,88.92350766933333,266.770523008,64.54972799,114.464265857,3,0.23812663533333334,0.714379906,0.203111024,0.255642673,3,169.66666666666666,509,138,207,3,33.56399345566666,100.69198036699999,32.112891903,34.973272502,3,3.113894,9.341682,2.382211,4.213618,3,47.507734,142.523202,26.269585,68.935159
EDED,large,1,3,3,2.3491719853333333,7.047515956,2.341915993,2.36159897,3,79.23225282733333,237.69675848199998,47.344790023,104.845108841,3,0.16612966933333334,0.49838900799999997,0.150828936,0.17782212,3,81.747554482,245.242663446,49.856443968,107.384529931,3,0.218630712,0.655892136,0.209918155,0.23243046,3,197.33333333333334,592,167,225,3,24.044943239,72.134829717,22.891343525999996,25.641887311999998,3,4.115270999666667,12.345812999000003,2.575216,6.603421000000001,3,49.86666533333333,149.599996,20.004175,71.00850799999999
EDED,large,2,3,3,2.6344506456666665,7.903351937,2.28474633,2.996208837,3,71.79304430733333,215.379132922,53.035686841,105.434916047,3,0.18880591633333335,0.5664177490000001,0.17634236,0.195568701,3,74.61630086933333,223.848902608,55.496775531,108.625631572,3,0.245152909,0.7354587269999999,0.230211725,0.259365356,3,183.33333333333334,550,167,208,3,23.488508256000003,70.46552476800001,22.300015103000003,24.504234565,3,3.972274666666667,11.916824,2.305579,6.930067,3,42.827427,128.482281,25.903464,71.618602
EDED,replay,1,3,3,2.5848520793333334,7.754556237999999,2.319259276,3.105049355,3,61.410046953333335,184.23014086,50.017244617,81.317985467,3,0.18136635633333334,0.5440990689999999,0.165053555,0.203481888,3,64.17626538900001,192.528796167,53.32577586,83.813286629,3,0.233237491,0.699712473,0.211097929,0.254000465,3,178,534,145,202,3,32.55549222366666,97.666476671,31.988952498,33.34319302,3,2.228354,6.685062,2.043846,2.388204,3,25.58459966666667,76.75379900000001,14.617473,44.929314000000005
EDED,replay,2,3,3,2.620729364,7.862188091999999,2.307579971,2.893468734,3,66.59636845200001,199.78910535600002,55.264156122,76.05823882,3,0.18017054600000001,0.540511638,0.17079215,0.195956441,3,69.397268362,208.19180508600002,57.742528243,78.893141254,3,0.23025094,0.6907528199999999,0.208819595,0.2488839,3,172,516,145,197,3,32.88591154,98.65773462000001,32.104254950999994,33.680279963000004,3,2.246318666666667,6.738956,2.2373380000000003,2.254346,3,30.452294333333334,91.356883,18.945775,39.249899
EDED,small,1,3,3,2.879528083,8.638584249,2.790570844,2.962232327,3,16.879535803666666,50.638607411,15.208237155,18.374716304,3,0.17254643433333333,0.5176393029999999,0.164090947,0.183375683,3,19.931610321,59.794830963,18.277393916,21.335459821,3,0.153365641,0.46009692300000005,0.132929175,0.185270361,3,173,519,133,216,3,9.409104063,28.227312189,9.2854133,9.646921433,3,1.031971,3.0959129999999995,0.7991159999999999,1.432906,3,5.251315,15.753945000000002,4.2866219999999995,6.145097000000001
EDED,small,2,3,3,3.497232958,10.491698874,2.520845615,4.218314586,3,17.66778207566667,53.003346226999994,17.116510928,18.397048113,3,0.18255646433333333,0.5476693930000001,0.162387628,0.195030046,3,21.347571498,64.042714494,19.799744171,22.344616832,3,0.15386799633333334,0.461603989,0.152458114,0.156143588,3,173,519,133,216,3,10.073959206333333,30.221877619,9.199442977,11.654195135,3,0.8595900000000001,2.57877,0.782771,0.9867880000000002,3,5.422486,16.267458,4.143078000000001,6.19435
EEEE,adaptive,1,3,3,3.6766903716666666,11.030071115,2.671710626,4.556061971,3,16.989500939666666,50.968502819,16.893653579,17.168083147,3,0.16552676633333333,0.496580299,0.161939029,0.168383012,3,20.831718077666665,62.495154233,20.008176785,21.629086322,3,0.14309825466666667,0.429294764,0.122324784,0.162426059,3,130.33333333333334,391,120,136,3,9.889287539333333,29.667862617999997,9.416452784999999,10.246961922999999,3,0.8339306666666667,2.501792,0.7709800000000001,0.9165000000000001,3,4.8375726666666665,14.512718,4.507978,5.207416
EEEE,adaptive,2,3,3,2.5530455066666664,7.65913652,2.317302121,2.875743084,3,16.106846582333333,48.320539747,15.249114792,16.618638397,3,0.177785878,0.533357634,0.171838878,0.18111209,3,18.837677967,56.513033901,17.896318197,19.508936308,3,0.14416909633333333,0.432507289,0.121942403,0.169534964,3,130.33333333333334,391,120,136,3,9.600989222666668,28.802967668,9.447547682,9.804673032000002,3,0.9278773333333333,2.783632,0.830816,1.0116589999999999,3,3.873816333333333,11.621449,3.334262,4.40939
EEEE,large,1,3,3,2.61574574,7.84723722,2.436347093,2.862677595,3,97.08261070233334,291.247832107,87.366539696,113.785415302,3,0.17413774666666668,0.52241324,0.168634481,0.179840986,3,99.872494189,299.61748256699997,89.976824562,116.816727378,3,0.22992481366666667,0.689774441,0.21789849,0.240006167,3,127.33333333333333,382,98,175,3,24.72155393466667,74.164661804,23.170170936,27.259731638,3,6.237578999666667,18.712736999,4.744676,7.672439,3,64.63009533333333,193.890286,55.847087,77.298552
EEEE,large,2,3,3,2.335432648333333,7.006297945,2.300216763,2.396395448,3,43.00218364133333,129.006550924,40.58956918,45.175952577,3,0.18211982933333334,0.546359488,0.175841609,0.185564375,3,45.519736119,136.559208357,43.075096523,47.7579124,3,0.22570155033333333,0.677104651,0.215809562,0.234864585,3,127,381,97,175,3,22.764117322333334,68.292351967,21.693595515,23.938504666000004,3,4.254191333333333,12.762574,3.64229,4.7040109999999995,3,14.355887666333334,43.067662999,11.867572000000001,16.107934999
EEEE,replay,1,3,3,2.443342082,7.330026245999999,2.375387045,2.521500474,3,13.671906808333333,41.015720425,13.591786645,13.788561285,3,0.15379561833333333,0.46138685500000004,0.147898645,0.161702808,3,16.269044508666667,48.807133526,16.172462348,16.457960404,3,0.16658260466666666,0.499747814,0.129499299,0.228304513,3,130.33333333333334,391,120,136,3,8.867916074666667,26.603748224,8.744818446,9.049829852999999,3,0.45884033333333335,1.3765209999999999,0.39364699999999997,0.551436,3,3.663828333333333,10.991484999999999,3.448928,3.772083
EEEE,replay,2,3,3,2.5338876703333333,7.601663011,2.309465243,2.72350119,3,13.701454237,41.104362711,13.303771748,14.049921925,3,0.165975692,0.49792707599999997,0.157007502,0.174457179,3,16.401317599333332,49.203952798,16.029475828,16.648627407,3,0.15012366,0.45037098000000003,0.131036841,0.171064284,3,130.33333333333334,391,120,136,3,9.294593299333334,27.883779898000007,8.941729348,9.610304112000001,3,0.5413886666666666,1.6241659999999998,0.439336,0.654476,3,3.1137746666666666,9.341324,2.851649,3.27494
EEEE,small,1,3,3,2.5528084476666666,7.658425343,2.37325585,2.785508094,3,16.211230680666667,48.633692042,15.437189061,17.597038417,3,0.16720041566666666,0.501601247,0.157696741,0.182588917,3,18.931239544,56.793718632,17.9717605,20.565135428,3,0.16009666366666667,0.48028999099999997,0.156967047,0.164544833,3,130.33333333333334,391,120,136,3,9.108327043333334,27.32498113,8.742561432,9.818049335,3,0.9275346663333334,2.782603999,0.7977369999999999,1.074874,3,4.771400666666667,14.314202000000002,4.448989,5.148896
EEEE,small,2,3,3,2.3610131313333333,7.083039394,2.282171017,2.467824063,3,15.451565366333334,46.354696099,14.477849516,15.942736413,3,0.178363203,0.535089609,0.17431315,0.185660178,3,17.990941700666667,53.972825102,16.98520698,18.596220654,3,0.14031169633333335,0.420935089,0.119371854,0.151412651,3,130.33333333333334,391,120,136,3,8.935532676333333,26.806598029,8.772624122,9.207622788,3,0.9954749996666666,2.986424999,0.842900999,1.151756,3,3.846379,11.539137,3.3728520000000004,4.437829
